n,n_fight,n_concede,n_escalate,amount_at_risk,gross_recovered,net_pnl,recovery_rate,fight_win_rate,ops_cost,threshold
2000,1973,27,0,3609733.6999999997,1551902.4700000002,-322447.53,0.4299215950473023,0.41510390268626457,1874350.0,0.02
2000,1973,27,0,3609733.6999999997,1551902.4700000002,-322447.53,0.4299215950473023,0.41510390268626457,1874350.0,0.03
2000,1878,122,0,3609733.6999999997,1545273.54,-238826.46,0.4280851908826405,0.4323748668796592,1784100.0,0.04
2000,1810,190,0,3609733.6999999997,1539547.27,-179952.72999999998,0.42649884948576683,0.4453038674033149,1719500.0,0.05
2000,1810,190,0,3609733.6999999997,1539547.27,-179952.72999999998,0.42649884948576683,0.4453038674033149,1719500.0,0.06
2000,1810,190,0,3609733.6999999997,1539547.27,-179952.72999999998,0.42649884948576683,0.4453038674033149,1719500.0,0.07
2000,1810,190,0,3609733.6999999997,1539547.27,-179952.72999999998,0.42649884948576683,0.4453038674033149,1719500.0,0.08
2000,1810,190,0,3609733.6999999997,1539547.27,-179952.72999999998,0.42649884948576683,0.4453038674033149,1719500.0,0.09
2000,1519,481,0,3609733.6999999997,1508730.59,65680.59,0.41796174327208685,0.511520737327189,1443050.0,0.1
2000,1519,481,0,3609733.6999999997,1508730.59,65680.59,0.41796174327208685,0.511520737327189,1443050.0,0.11
2000,1495,505,0,3609733.6999999997,1508264.6300000001,88014.63000000002,0.41783265895764005,0.5190635451505017,1420250.0,0.12
2000,1495,505,0,3609733.6999999997,1508264.6300000001,88014.63000000002,0.41783265895764005,0.5190635451505017,1420250.0,0.13
2000,1495,505,0,3609733.6999999997,1508264.6300000001,88014.63000000002,0.41783265895764005,0.5190635451505017,1420250.0,0.14
2000,1495,505,0,3609733.6999999997,1508264.6300000001,88014.63000000002,0.41783265895764005,0.5190635451505017,1420250.0,0.15
2000,1495,505,0,3609733.6999999997,1508264.6300000001,88014.63000000002,0.41783265895764005,0.5190635451505017,1420250.0,0.16
2000,1486,514,0,3609733.6999999997,1507467.4300000002,95767.43000000002,0.4176118116413962,0.5208613728129206,1411700.0,0.17
2000,1447,553,0,3609733.6999999997,1493681.2000000002,119031.20000000001,0.41379262963359326,0.5293711126468555,1374650.0,0.18
2000,1447,553,0,3609733.6999999997,1493681.2000000002,119031.20000000001,0.41379262963359326,0.5293711126468555,1374650.0,0.19
2000,1447,553,0,3609733.6999999997,1493681.2000000002,119031.20000000001,0.41379262963359326,0.5293711126468555,1374650.0,0.2
2000,1267,733,0,3609733.6999999997,1445216.85,241566.84999999998,0.4003666115314823,0.5722178374112076,1203650.0,0.21
2000,1267,733,0,3609733.6999999997,1445216.85,241566.84999999998,0.4003666115314823,0.5722178374112076,1203650.0,0.22
2000,1267,733,0,3609733.6999999997,1445216.85,241566.84999999998,0.4003666115314823,0.5722178374112076,1203650.0,0.23
